Riksorganisation,Typ av Riksorganisation
ActionAid Sverige,Bistånd / Internationellt
Afasiförbundet,Funktionsrätt / Hälsa
Afrikagrupperna,Bistånd / Internationellt
Alzheimer Sverige,Patientorganisation
Amatörteaterns Riksförbund,Kultur
Astma- och Allergiförbundet,Patientorganisation
Attention,Funktionsrätt / Neuropsykiatri
Autism Sverige,Funktionsrätt
Barncancerfonden,Barn / Hälsa
Bröstcancerförbundet,Patientorganisation
Cancerfonden,Hälsa / Forskning
CONCORD Sverige,Bistånd / Paraplyorganisation
Demensförbundet,Patientorganisation
DHR - Riks,Funktionsrätt
Djurskyddet Sverige,Djurskydd
Dyslexiförbundet FMLS,Funktionsrätt / Utbildning
Fibromyalgiförbundet,Patientorganisation
ForumCiv,Bistånd / Paraplyorganisation
Friluftsfrämjandet,Friluftsliv
Förbundet Aktiv Ungdom,Ungdom
Förbundet Blödarsjuka i Sverige,Patientorganisation
Förbundet Vi Unga,Ungdom
Giva Sverige,Insamling / Paraplyorganisation
Greenpeace Norden,Miljö / Natur
Hello World!,Utbildning / Teknik
Hjärnfonden,Hälsa / Forskning
Hjärnskadeförbundet Hjärnkraft,Patientorganisation
Hjärt-Lungfonden,Hälsa / Forskning
Hjärtebarnsfonden,Barn / Hälsa
Hundstallet,Djurskydd
Håll Sverige Rent,Miljö / Samhälle
Hörselskadades Riksförbund,Funktionsrätt
Ideell Kulturallians,Kultur / Paraplyorganisation
Ideella Sverige,Civilsamhälle / Paraplyorganisation
"ILCO Tarm-, uro- och stomiförbundet",Patientorganisation
IM,Humanitärt / Integration
IOGT-NTO,Nykterhet
Islamic Relief Sverige,Humanitärt / Bistånd
Jordens Vänner,Miljö / Aktivism
Jägarnas Riksförbund,Friluftsliv / Intresseorganisation
KFUM Sverige,Ungdom / Fritid
Kodcentrum,Utbildning / Teknik
Kvinna till Kvinna,Internationellt / Jämställdhet
LSU – Sveriges ungdomsorganisationer,Paraplyorganisation / Ungdom
Läkare Utan Gränser,Humanitärt / Internationellt
Läkarmissionen,Humanitärt / Bistånd
Mag- och tarmförbundet,Patientorganisation
Maskrosbarn,Barn / Socialt stöd
MHF Motorförarnas Helnykterhetsförbund,Nykterhet
MÄN,Jämställdhet / Samhälle
Naturskyddsföreningen,Miljö / Natur
Neuroförbundet,Patientorganisation
Njurförbundet,Patientorganisation
Pensionärernas Riksorganisation (PRO),Seniororganisation
Personskadeförbundet RTP,Patientorganisation
Prostatacancerförbundet,Patientorganisation
Psoriasisförbundet,Patientorganisation
RBU - Riksförbundet för rörelsehindrade barn och ungdomar,Funktionsrätt
Reumatikerförbundet,Patientorganisation
Riksförbundet FUB,Funktionsrätt
Riksförbundet för Social och Mental Hälsa,Psykisk hälsa
Riksförbundet HjärtLung,Patientorganisation
Riksförbundet Sveriges 4H,Ungdom / Landsbygd
Riksförbundet Unga Musikanter,Musik / Ungdom
Riksidrottsförbundet,Idrott / Paraplyorganisation
Roks,Kvinnojourer / Samhälle
Rädda Barnen,Barn / Humanitärt
Scouterna,Ungdom / Friluftsliv
SIOS Samarbetsorgan för etniska organisationer,Integration / Paraplyorganisation
SISU Idrottsutbildarna,Idrott / Utbildning
SOS Barnbyar Sverige,Barn / Humanitärt
Spelberoendes riksförbund,Patientorganisation / Stöd
SPF Seniorerna,Seniororganisation
Sportfiskarna,Friluftsliv / Intresseorganisation
Strokeförbundet,Patientorganisation
Studieförbunden i samverkan,Bildning / Paraplyorganisation
Svenska Bridgeförbundet,Spel / Fritid
Svenska Båtunionen,Båtliv / Friluftsliv
Svenska Celiakiförbundet,Patientorganisation
Svenska Diabetesförbundet,Patientorganisation
Svenska Epilepsiförbundet,Patientorganisation
Svenska Folkdansringen,Kultur
Svenska Frisksportförbundet,Friskvård / Fritid
Svenska Hemslöjdsföreningarnas Riksförbund,Kultur / Hantverk
Svenska Jägareförbundet,Friluftsliv / Intresseorganisation
Svenska Kennelklubben,Djursport / Intresseorganisation
Svenska Parkinsonförbundet,Patientorganisation
Svenska Pistolskytteförbundet,Skytte / Sport
Svenska Röda Korset,Humanitärt
Svenska Turistföreningen,Friluftsliv
Sverigefinska Riksförbundet,Integration / Kultur
Sveriges Bilkårers Riksförbund,Frivilligförsvar
Sveriges Blåbandsförbund,Nykterhet
Sveriges Dövas Riksförbund,Funktionsrätt
Sveriges Elevkårer,Skola / Ungdom
Sveriges Elevråd,Skola / Ungdom
Sveriges Frimärksungdom,Ungdom / Hobby
Sveriges Föreningar,Civilsamhälle / Paraplyorganisation
Sveriges Hembygdsförbund,Kultur / Historia
Sveriges kristna råd,Religion / Paraplyorganisation
Sveriges Körförbund,Musik / Kultur
Sveriges Lottakårer,Frivilligförsvar
Sveriges Motorcyklister SMC,Motor / Intresseorganisation
Sveriges Orkesterförbund,Musik / Kultur
Sveriges Ornitologiska Förening - Birdlife Sverige,Natur / Fågelliv
Sveriges Schackförbund,Spel / Intresseorganisation
Sveriges Sportfiske- & Fiskevårdsförbund,Sportfiske / Friluftsliv
Sverok,Ungdom / Gaming
Synskadades Riksförbund,Funktionsrätt
Tandhälsoförbundet,Hälsa
Tjejzonen,Ungdom / Socialt stöd
Ung Cancer,Hälsa / Ungdom
Unga Örnars Riksförbund,Ungdom
WWF Sverige,Miljö / Natur
