Riksorganisation,Segment / Förbund,Typ
Riksidrottsförbundet,Fotboll,Idrott
Riksidrottsförbundet,Handboll,Idrott
Riksidrottsförbundet,Innebandy,Idrott
Riksidrottsförbundet,Ishockey,Idrott
Riksidrottsförbundet,Golf,Idrott
Riksidrottsförbundet,Tennis,Idrott
Riksidrottsförbundet,Gymnastik,Idrott
Riksidrottsförbundet,Friidrott,Idrott
Riksidrottsförbundet,Ridsport,Idrott
Riksidrottsförbundet,Simning,Idrott
Riksidrottsförbundet,Basket,Idrott
Riksidrottsförbundet,Volleyboll,Idrott
Riksidrottsförbundet,Badminton,Idrott
Riksidrottsförbundet,Bordtennis,Idrott
Riksidrottsförbundet,Orientering,Idrott
Riksidrottsförbundet,Skidor,Idrott
Riksidrottsförbundet,Skidskytte,Idrott
Riksidrottsförbundet,Brottning,Idrott
Riksidrottsförbundet,Judo,Idrott
Riksidrottsförbundet,Karate,Idrott
Riksidrottsförbundet,Taekwondo,Idrott
Riksidrottsförbundet,Cykel,Idrott
Riksidrottsförbundet,Triathlon,Idrott
Riksidrottsförbundet,Segling,Idrott
Riksidrottsförbundet,Kanot,Idrott
Riksidrottsförbundet,Bågskytte,Idrott
Riksidrottsförbundet,Pistolskytte,Idrott
Riksidrottsförbundet,Amerikansk Fotboll,Idrott
Riksidrottsförbundet,Baseboll & Softboll,Idrott
Riksidrottsförbundet,Danssport,Idrott
Riksidrottsförbundet,Fäktning,Idrott
Riksidrottsförbundet,Rugby,Idrott
Riksidrottsförbundet,Klättring,Idrott
Riksidrottsförbundet,Kampsport,Idrott
Riksidrottsförbundet,Motorcykel & Snöskoter,Idrott
Riksidrottsförbundet,Konståkning,Idrott
Riksidrottsförbundet,Bandy,Idrott
Riksidrottsförbundet,Biljard,Idrott
Riksidrottsförbundet,Bob & Rodel,Idrott
Riksidrottsförbundet,Boule,Idrott
Riksidrottsförbundet,Boxning,Idrott
Riksidrottsförbundet,Casting,Idrott
Riksidrottsförbundet,Cricket,Idrott
Riksidrottsförbundet,Curling,Idrott
Riksidrottsförbundet,Draghundsport,Idrott
Riksidrottsförbundet,Dragkamp,Idrott
Riksidrottsförbundet,Flygsport,Idrott
Riksidrottsförbundet,Goalball,Idrott
Riksidrottsförbundet,Gång,Idrott
Riksidrottsförbundet,Parasport,Idrott
Riksidrottsförbundet,Issegling,Idrott
Riksidrottsförbundet,Landhockey,Idrott
Riksidrottsförbundet,Mångkamp,Idrott
Riksidrottsförbundet,Racerbåt,Idrott
Riksidrottsförbundet,Rodd,Idrott
Riksidrottsförbundet,Roller Derby,Idrott
Riksidrottsförbundet,Rullskidor,Idrott
Riksidrottsförbundet,Sportdykning,Idrott
Riksidrottsförbundet,Squash,Idrott
Riksidrottsförbundet,Styrkelyft,Idrott
Riksidrottsförbundet,Surfing,Idrott
Riksidrottsförbundet,Tyngdlyftning,Idrott
Riksidrottsförbundet,Vattenskidor,Idrott
Riksidrottsförbundet,Varpa,Idrott
Riksidrottsförbundet,Wushu,Idrott
Riksidrottsförbundet,Discgolf,Idrott
Riksidrottsförbundet,Lacrosse,Idrott
Riksidrottsförbundet,Minigolf,Idrott
Riksidrottsförbundet,Modern Femkamp,Idrott
Riksidrottsförbundet,Schack,Idrott
Scouterna,Scoutkår,Ungdom / Friluftsliv
Scouterna,Distrikt,Ungdom / Friluftsliv
Scouterna,Utmanarscout,Ungdom / Friluftsliv
Sveriges Elevkårer,Gymnasium,Skola / Ungdom
Sveriges Elevkårer,Studentförening,Skola / Ungdom
Sveriges Elevråd,Grundskola,Skola / Ungdom
Sveriges Elevråd,Klassresa,Skola / Ungdom
Sverok,Gamingförening,Gaming / E-sport
Sverok,LAN-förening,Gaming / E-sport
Sverok,Brädspel,Gaming / Hobby
Friluftsfrämjandet,Lokalavdelning,Friluftsliv
Friluftsfrämjandet,Skidgrupp,Friluftsliv
Friluftsfrämjandet,Kajakgrupp,Friluftsliv
Svenska Turistföreningen,Lokalavdelning,Friluftsliv
Svenska Turistföreningen,Ungdomssektion,Friluftsliv
Riksförbundet Unga Musikanter,Band,Musik / Ungdom
Riksförbundet Unga Musikanter,Orkester,Musik / Ungdom
Sveriges Körförbund,Kör,Musik / Kultur
Sveriges Orkesterförbund,Orkester,Musik / Kultur
Amatörteaterns Riksförbund,Teatergrupp,Kultur
Svenska Folkdansringen,Dansgrupp,Kultur
Riksförbundet Sveriges 4H,4H-gård,Ungdom / Landsbygd
Riksförbundet Sveriges 4H,Ungdomsgrupp,Ungdom / Landsbygd
SPF Seniorerna,Lokalavdelning,Senior
SPF Seniorerna,Distrikt,Senior
Pensionärernas Riksorganisation (PRO),Lokalavdelning,Senior
Pensionärernas Riksorganisation (PRO),Distrikt,Senior
Naturskyddsföreningen,Lokalkrets,Miljö
Naturskyddsföreningen,Ungdomssektion,Miljö
WWF Sverige,Ungdomsgrupp,Miljö
Sveriges Lottakårer,Lottakår,Frivilligförsvar
Sveriges Bilkårers Riksförbund,Bilkår,Frivilligförsvar
Kodcentrum,Kodklubb,Teknik / Utbildning
Hello World!,Kodgrupp,Teknik / Utbildning
ForumCiv,Medlemsorganisation,Civilsamhälle
Giva Sverige,Medlemsorganisation,Civilsamhälle
Funktionsrätt Sverige,Medlemsförbund,Funktionsrätt
Sveriges Föreningar,Lokal förening,Civilsamhälle
Sverigefinska Riksförbundet,Lokal förening,Kultur / Integration
SIOS Samarbetsorgan för etniska organisationer,Medlemsorganisation,Integration
